Request type,Message,Message direction,Valid request,Subject head,subject NP,Direct object head,Direct object NP,Indirect object head,Indirect object NP
give,"Yes, of course I will do it. Please just give me a second",INCOMING,FALSE,,,,,,
give,I'd be glad if you could give me a hand with this,INCOMING,FALSE,,,,,,
give,"Yes, no problem, I am just waiting for you to give me the green light",INCOMING,FALSE,,,,,,
find,Can you please find this information ASAP? I need it today,INCOMING,TRUE,you,you,information,this information,,
find,Do you need this file for today?,INCOMING,FALSE,,,,,,
find,"Yes, I know, this bug is very problematic, I need to find a workaround",OUTGOING,FALSE,,,,,,
find,Could you please find the time to finish this task today?,INCOMING,FALSE,,,,,,
find,Yes I am still new here but I will find my feet soon I guess,OUTGOING,FALSE,,,,,,
find,I thought I was going to find the research today but eventually I had to leave for a meeting ,OUTGOING,FALSE,,,,,,
find,"If itÍs ok, please find the last research about this topic",INCOMING,TRUE,,,research,the last research,,
find,"Sorry, I couldn't find the last report. Do you know who might have it?",OUTGOING,FALSE,,,,,,
find,"I will find the best resources today, if I have enough time for it",OUTGOING,FALSE,,,,,,
find,"It's a major problem, I can't find the last saved file I had ",OUTGOING,FALSE,,,,,,
delete ,Could you plese delete this line form the file?,INCOMING,TRUE,you,you,line,this line,,
delete ,I can delete the sentence today but it will only be updated tomorrow,OUTGOING,TRUE,I,I,sentence,the sentence,,
delete ,"you might want to delete these details from the presentation, not sure we are allowed to put them there",INCOMING,TRUE,you,you,details,these details,,
delete ,I think you should delete this post from the forum,INCOMING,TRUE,you,you,post,this post,,
delete ,"I would delete it, but I've already sent it",OUTGOING,TRUE,,,,,,
delete ,Should I delete this file from my folder or not?,OUTGOING,FALSE,,,,,,
delete ,"If it's ok, delete the last file from the folder so it will be updated",INCOMING,TRUE,,,file,the last file,,
delete ,"I had to delete it, sorry, I will help you rewrite it",OUTGOING,FALSE,,,,,,
delete ,please make sure to delete all the finished tasks from the board If you are at the office,INCOMING,FALSE,,,,,,
delete ,Could you please delete my name from your list? I am getting these emails all the time,INCOMING,TRUE,you,you,name,my name,,
upload,Is it possible that you upload the file with the results today?,INCOMING,TRUE,you,you,file,the file with the results,,
upload,I need you to upload the report ASAP ,INCOMING,TRUE,you,you,report ,the report,,
upload,"If you are in the office today, please upload the recent data so we can all use it",INCOMING,FALSE,,,,,,
upload,"if it's not too much trouble, please upload your file today",INCOMING,FALSE,,,,,,
upload,I need you to upload your report today if it's possible,INCOMING,TRUE,you,you,report,your report,,
upload,"I forgot to upload the last file too, sorry",OUTGOING,FALSE,,,,,,
upload,"I will upload this report in case I am at the office today, don't know yet",OUTGOING,FALSE,,,,,,
upload,"I can't upload the file, there is a bug in the service",OUTGOING,FALSE,,,,,,
upload,"Yes, I have uploaded the file when I got to the office",OUTGOING,FALSE,,,,,,
upload,I should upload this file today since everyone needs it,OUTGOING,TRUE,I,I,file,this file,,
ask,I can ask him if you want,OUTGOING,FALSE,,,,,,
ask,"please ask the manager about the files, if it's ok ",INCOMING,TRUE,,,manager,the manager,,
ask,please ask him for more information if you are already here,INCOMING,FALSE,,,,,,
ask,"I don't know, it's a big ask. I will let you know later",OUTGOING,FALSE,,,,,,
ask,"Yes, this is a fantastic analysis, I couldn't ask for more!",OUTGOING,FALSE,,,,,,
ask,"This is really great, I thought you'd never ask!",INCOMING,FALSE,,,,,,
ask,Should I ask the manager about this?,OUTGOING,FALSE,,,,,,
ask,"Hi, I think you should ask the manager",INCOMING,TRUE,you,you,manager,the manager,,
ask,"No, I didn't ask him eventually, I can do it today",OUTGOING,FALSE,,,,,,
ask,"I don't know, sorry, if you could please ask the manager about it it will be great",INCOMING,TRUE,you,you,manager,the manager,,
post,please post your report today If it's ok,INCOMING,TRUE,,,report,your report,,
post,"I don't know, but if you could post your results today it will be great",INCOMING,TRUE,you,you,results,your results,,
post,"If you are going to the meeting today, please post your data",INCOMING,FALSE,,,,,,
post,Yes you could post it if you want,INCOMING,FALSE,,,,,,
post,I could post the last results but I don't know if it's a good idea,OUTGOING,FALSE,,,,,,
post,"If it's ok, please post my review ",INCOMING,TRUE,,,review,my review,,
post,"I can't post it because my account is blocked for the moment, sorry",OUTGOING,FALSE,,,,,,
post,I will post the results today if I get to the office,OUTGOING,FALSE,,,,,,
post,"It will be very helpful if you could post your tasks so everyone can see them, tnx",INCOMING,TRUE,you,you,tasks,your tasks,,
post,"I would post my file on the forum, but for some reason my internet connection is gone",OUTGOING,FALSE,,,,,,
send,please send me the last results If you are at the office,INCOMING,FALSE,,,,,,
send,"I forgot to send the file to him yesterday therefore it was delayed, sorry",OUTGOING,FALSE,,,,,,
send,Could you please send me the last email about the conference?,INCOMING,TRUE,you,you,email,the last email,me,me
add,I will add the new text to my powrpoint ,OUTGOING,TRUE,I,I,text,the new text,,
add,"No problem, I will add this meeting to my calendar",OUTGOING,TRUE,I,I,meeting,this meeting,,
add,Can you please add this information to the weekly status?,INCOMING,TRUE,you,you,information,this information,,
add,It is essential that you add this file today,INCOMING,TRUE,you,you,file,this file,,
add,"Yes, the meeting occurs today so please add this video to the presentation as soon as you can",INCOMING,TRUE,,,video,this video,,
add,"It's not urgent, just please add the data to the file",INCOMING,TRUE,,,data,the data,,
add,"I need to present it in the meeting, so add this soon please",INCOMING,TRUE,,,this,this,,
add,"I have a meeting now, will add the file to the folder later",OUTGOING,TRUE,I,I,file,the file,,
add,"It's in the last data files, I will add the text files to the folder",OUTGOING,TRUE,I,I,files,the text files,,
add,"I received the email, I will add our meeting to my calendar",OUTGOING,TRUE,I,I,meeting,our meeting,,
submit,I need you to submit your status in the forum today,INCOMING,TRUE,you,you,status,your status ,,
submit,Is it possible that you to submit your report this week?,INCOMING,TRUE,you,you,report,your report,,
submit,"Hi, please try to submit the request today",INCOMING,TRUE,,,request,the request,,
submit,I will submit the paper today,OUTGOING,TRUE,I,I,paper,the paper,,
submit,"I will arrive late today, please submit the report for me",INCOMING,TRUE,,,report,the report,me,me
submit,I am currently not at the office but I will submit my request as soon as I can ,OUTGOING,TRUE,I,I,request,my request,,
submit,Are you able to submit our requests today?,INCOMING,TRUE,you,you,requests,our requests,,
submit,"Yes of course, I will submit the file when I get to the office",OUTGOING,TRUE,I,I,file,the file,,
submit,It's urgent so please submit your report today,INCOMING,TRUE,,,focal,your focal,,
submit,Can you please submit the updated report today?,INCOMING,TRUE,you,you,report,the updated report,,
highlight,Please highlight your comments ,INCOMING,TRUE,,,comments,your comments,,
highlight,"I forgot to ask you, but please highlight the important key words when you read it",INCOMING,TRUE,,,things,the important key words,,
highlight,Yes I think you should just hightlight these words and then send them out,INCOMING,TRUE,you,you,words,these words,,
highlight,"It's for tomorrow, so just highlight the most important topics and we'll discuss them",INCOMING,TRUE,,,topics,the most important topics,,
highlight,"I will read the paper, highlight the key words for us, I will send it to you later",OUTGOING,TRUE,I,I,words,the key words,us,us
highlight,"Yes, I will go over the report and hightlight my comments ",OUTGOING,TRUE,I,I,comments,my comments,,
highlight,"Of course, I will go over it today and hightlight the words for you",OUTGOING,TRUE,I,I,words,the words,you,you
highlight,I'll get to the office soon so I will go over your presentation and highlight my corrections,OUTGOING,TRUE,I,I,corrections,my corrections,,
highlight,Can you please hightlight the notes for me?,INCOMING,TRUE,you,you,notes,the notes,me,me
highlight,"I will highlight the important topics in the document, check it out later",OUTGOING,TRUE,I,I,verbs,the important topics ,,
share,would you please share this information with us?,INCOMING,TRUE,you,you,information,this information,,
share,Are you able to share some insights at the next meeting?,INCOMING,TRUE,you,you,insights,some insights,,
share,Is it ok to ask you to share your abstract with the group?,INCOMING,TRUE,you,you,abstract,your abstract,,
share, I guess that you can share the agenda with us,INCOMING,TRUE,you,you,agenda,the agenda,,
share,"There are a few things, but first please share your data so I'd be able to know what you are talking about",INCOMING,TRUE,,,data,your data,,
share,"It's written in my email, let me find it and I'll share the information with you",OUTGOING,TRUE,I,I,information,the information ,,
share,I will share the most relevant notes with you,OUTGOING,TRUE,I,I,notes,the most relevant notes,,
share,"it's a long document, so in the meantime I will just share with you the summary I have",OUTGOING,TRUE,I,I,summary,the summary,,
share,"Hi, can you please share the latest verion so everyone can use it?",INCOMING,TRUE,you,you,version,the lastest version,,
share,Can you please share the review ,INCOMING,TRUE,you,you,review,the review,,
update,Would you please update your status today?,INCOMING,TRUE,you,you,status,your status ,,
update,Will you please update your recent tasks?,INCOMING,TRUE,you,you,tasks,your recent tasks,,
update,You should update these changes today since we need it for the meeting,INCOMING,TRUE,you,you,changes,these changes,,
update,Can you please update the presentation?,INCOMING,TRUE,you,you,presentation,the presentation,,
update,You can update the tasks folder before the meeting,INCOMING,TRUE,you,you,folder,the tasks folder,,
update,Could you please update me on the main changes?,INCOMING,TRUE,you,you,me,me,,
update,"I need to update the file today, don't use it before I do it",OUTGOING,TRUE,I,I,file,the file,,
update,I will update my drivers first and then I'll go on with the testing,OUTGOING,TRUE,I,I,drivers,my drivers,,
update,I need to update my card today,OUTGOING,TRUE,I,I,card,my card,,
update,"Sure, I am going to update all the folders today",OUTGOING,TRUE,I,I,folders,all the folders,,
test,Would you please test the lastest version today?,INCOMING,TRUE,you,you,version,the lastest version,,
test,Could you please test the latest results ASAP?,INCOMING,TRUE,you,you,results,the latest results,,
test,Is it possible for you to test this version?,INCOMING,TRUE,you,you,version,this version,,
test,Can you please test this section in the latest version?,INCOMING,TRUE,you,you,section,this section,,
test,"Hi, I need you to test these modules in the new version today",INCOMING,TRUE,you,you,modules,these modules,,
test,"Yes, I'm going to test the new version today, will let you know how if there are any bugs",OUTGOING,TRUE,I,I,version,the new version,,
test,"No problem, I will test these files and see if it works",OUTGOING,TRUE,I,I,files,these files,,
test,I should test these results before you use them,OUTGOING,TRUE,I,I,results,these results,,
test,"It's ok, I can test this module when I get to the office",OUTGOING,TRUE,I,I,module,this module,,
test,"No problem, I will test the code and let you know soon",OUTGOING,TRUE,I,I,code,the code ,,
upload,You must upload the files today ,INCOMING,TRUE,you,you,files,the files,,
upload,Will you please upload your data to the shared folder?,INCOMING,TRUE,you,you,data,your data,,
upload,Would you please upload your tasks to the group's page?,INCOMING,TRUE,you,you,tasks,your tasks,,
upload,You should upload these files ASAP,INCOMING,TRUE,you,you,files,these files,,
upload,Can you please upload the document that you've prepared?,INCOMING,TRUE,you,you,document,the document,,
upload,"Sure, you can just upload the files and we'll work on it together",INCOMING,TRUE,you,you,files,the files,,
upload,Could you please upload the recent tasks to our folder?,INCOMING,TRUE,you,you,tasks,the recent tasks,,
upload,I will upload the results ASAP,OUTGOING,TRUE,I,I ,results,the results,,
upload,I need to upload the new code today,OUTGOING,TRUE,I,I,code,the new code,,
upload,"No, I didn't forget. I will upload my file soon.",OUTGOING,TRUE,I,I,file,my file,,
post,Please post this info in the group forum,INCOMING,TRUE,,,info,this info,,
post,Would you please post an announcement today?,INCOMING,TRUE,you,you,announcement,an announcement,,
post,Can you please post a message in our group's page?,INCOMING,TRUE,you,you,message,a message,,
post,"I know, I just need you to post this paper and that's it. Sorry",INCOMING,TRUE,you,you,paper,this paper,,
post,You should post the main topic it will be more informative ,INCOMING,TRUE,you,you,topics,the main topic,,
post,"the deadline is Wednesday, so please post the message today",INCOMING,TRUE,,,message,the message,,
post,When are you leaving? Please post the results before you go,INCOMING,TRUE,,,results,the results,,
post,I will post a note about it,OUTGOING,TRUE,I,I,note,a note,,
post,"It's on my tasks list, I will post the update tomorrow",OUTGOING,TRUE,I,I,update,the update,,
post,"I need to post a new message, the previous one was deleted",OUTGOING,TRUE,I,I,message,a new message,,
send,Will you please send me your new analysis?,INCOMING,TRUE,you,you,analysis,your new analysis,me,me
send,Would you please send me the last results?,INCOMING,TRUE,you,you,results,the last results,me,me
send,"I know it's due for tomorrow, so you should send your report today",INCOMING,TRUE,you,you,report,your report,,
send,Can you please send me the template for the presentation?,INCOMING,TRUE,you,you,template,the template,,
send,Could you please send me the recent published paper about this topic?,INCOMING,TRUE,you,you,paper,the recent published paper,,
send,"Yes, you need to send the results to the manager today",INCOMING,TRUE,you,you,results,the results,manager,the manager
send,"Sorry, I must send the paper today before I leave",OUTGOING,TRUE,I,I,paper,the paper,,
send,I will send the email ASAP,OUTGOING,TRUE,I,I,email,the email ,,
send,"No problem, I just need to send the document's full version to the group",OUTGOING,TRUE,I,I,version,the document's full version,group,the group
send,"Of course, I will send you my presentation soon",OUTGOING,TRUE,I,I,presentation,presentation,,
email,Will you please email me your report?,INCOMING,TRUE,you,you,report,your report,me,me
email,Would you please email me the newest analysis?,INCOMING,TRUE,you,you,analysis,the newest analysis,me,me
email,"Yes, I think you should email the results to the group",INCOMING,TRUE,you,you,results,the results,group,the group
email,Can you please email me your status ASAP?,INCOMING,TRUE,you,you,status,your status ,me,me
email,You can email me the article today,INCOMING,TRUE,you,you,paper,the paper,me,me
email,Could you please email me the presentation?,INCOMING,TRUE,you,you,presentation,the presentation,me,me
email,"Yes, you need to email the file today",INCOMING,TRUE,you,you,file,the file,,
email,I will email you my comments tomorrow,OUTGOING,TRUE,I,I,comments,my comments,you,you
email,I need to email the results to my mangaer,OUTGOING,TRUE,I,I,results,the results,manager,my manager
email,"No problem, I can email you the template now",OUTGOING,TRUE,I,I,template,the template,you,you
delete ,You must delete the list from the file,INCOMING,TRUE,you,you,list,the list,,
delete ,Will you please delete the last request from the board?,INCOMING,TRUE,you,you,request,the last request,,
delete ,"Hi, would you please delete one of the files from the folder? It's confusing ",INCOMING,TRUE,you,you,files,one of the files,,
delete ,"Hi, I think you should delete these lines as they might confuse the readers ",INCOMING,TRUE,you,you,lines,these lines,,
delete ,Can you please delete the last file from our folder?,INCOMING,TRUE,you,you,file,the last file,,
delete ,"Hi, could you please delete your comments from the presentation?",INCOMING,TRUE,you,you,comments,your comments,,
delete ,I will delete those errors today,OUTGOING,TRUE,I,I,errors,those,,
delete ,I must delete those lines,OUTGOING,TRUE,I,I,lines,those lines,,
delete ,I need to delete this code file from the folder,OUTGOING,TRUE,I,I,file,this code file,,
delete ,"Yes sure, I can delete my results, but just send me the new ones",OUTGOING,TRUE,I,I,results,my results,,
upload,please upload the files ASAP It's urgent,INCOMING,TRUE,you,you,files,the files,,
upload,"Hi, will you please upload your results to the network",INCOMING,TRUE,you,you,results,your results,,
upload,"Hello, would you please upload the new guide?",INCOMING,TRUE,you,you,guide,the new guide,,
upload,"That's ok, I think you should upload the review, it may help",INCOMING,TRUE,you,you,review,the review,,
upload,Can you please upload all the previous docs to our folder?,INCOMING,TRUE,you,you,docs,all the previous docs,,
upload,Hi is there any chance you can upload your presentation to the shared folder?,INCOMING,TRUE,you,you,presentation,your presentation,,
upload,"Sure, I can upload my folder, it has all the files in it",OUTGOING,TRUE,I,I,folder,my folder,,
upload,"Yes, I need to upload the rest of the files, so you can use them all today",OUTGOING,TRUE,I,I,files,the rest of the files,,
upload,"No problem, I will upload my results tomorrow",OUTGOING,TRUE,I,I,results,my results,,
upload,I must upload the last changes ASAP,OUTGOING,TRUE,I,I,changes,the last changes,,
find,"Hi, can you please find the paper that we talked about?",INCOMING,TRUE,you,you,paper,the paper,,
find,I need you to find me the most accurate information about it,INCOMING,TRUE,you,you,information,the most accurate information,,
find,"Hello, you must find the files today.",INCOMING,TRUE,you,you,files,the files,,
find,Can you please find the old version?,INCOMING,TRUE,you,you,version,the old version,,
find,Will you please find the best source for this purpose? ,INCOMING,TRUE,you,you,source,the best source,purpose,this purpose 
find,I will find the dataset that we talked about,OUTGOING,TRUE,I,I,dataset,the dataset,,
find,"Sure, I can find the old version",OUTGOING,TRUE,I,I,version,the old version,,
find,"Yes, I need to find the rest of the bugs",OUTGOING,TRUE,I,I,bugs,the rest of the bugs,,
find,I must find the info about it before we meet,OUTGOING,TRUE,I,I,info,the info,,
find,"No problem, I will find the old files",OUTGOING,TRUE,I,I,files,the old files,,
submit,"Hi, please submit your request ASAP",INCOMING,TRUE,,,request,your request,,
submit,"Please submit the updated document today , we need it for tomorrow ",INCOMING,TRUE,,,document,the updated document,,
submit,You need to submit our proposal today,INCOMING,TRUE,you,you,proposal,our proposal,,
submit,Can you please submit the draft?,INCOMING,TRUE,you,you,draft,the draft,,
submit,"Hi, will you please submit a new request? The last one was deleted for some reason",INCOMING,TRUE,you,you,request,a new request,,
submit,"Yes, I need to submit the application today",OUTGOING,TRUE,I,I,application,the application,,
submit,"I know, I have to submit a new request tomorrow",OUTGOING,TRUE,I,I,request,a new request,,
submit,I need to submit this paper ASAP,OUTGOING,TRUE,I,I,paper,this paper,,
submit,"I understand this is urgent, so yes I will submit the draft today",OUTGOING,TRUE,I,I,draft,the draft,,
submit,Sorry but you should submit the application today,INCOMING,TRUE,you,you,application,the application,,
give,Can you please give me a quick review?,INCOMING,TRUE,you,you,review,a quick review,me,me
give,"Hi, will you please give me some info about this topic?",INCOMING,TRUE,you,you,info,some info,me,me
give,I need you to give me a few details about your task,INCOMING,TRUE,you,you,details,a few details,me,me
give,please give me your inputs today,INCOMING,TRUE,,,inputs,your inputs,me,me
give,you will need to give a short review about the team,INCOMING,TRUE,you,you,review,a short review,,
give,"This is what I know, can you please give me a bit more information?",INCOMING,TRUE,you,you,information,a bit more information,me,me
give,I will give you all the details don't worry,OUTGOING,TRUE,I,I,details,all the details,you,you
give,I need to give you the rest of the files,OUTGOING,TRUE,I,I,files,the rest of the files,you,you
give,"I know, I will give you the copies ASAP",OUTGOING,TRUE,I,I,copies,the copies,you,you
send,Can you please send me a sample,OUTGOING,TRUE,you,you,sample,a sample,,
send,sorry but you must send me your document today,INCOMING,TRUE,you,you,document,your document,me,me
send,Will you please send me the presentation?,INCOMING,TRUE,you,you,presentation,the presentation,me,me
send,Would you please send me the template?,INCOMING,TRUE,you,you,template,the template,me,me
send,"Yes, you should send a reply ASAP",INCOMING,TRUE,you,you,reply,a reply,,
send,"You can send the report to me, I will go over it",INCOMING,TRUE,you,you,report,the report,me,me
send,"That's fine, I will send you the agenda and we will go over it together ",OUTGOING,TRUE,I,I,agenda,the agenda,you,you
send,"I am sorry, I forgot, I will send you the report ASAP",OUTGOING,TRUE,I,I,report,the report,you,you
send,"Sure, I will send you the new analysis once I am done",OUTGOING,TRUE,I,I,analysis,the new analysis,you,you
send,"When is the conference? I will send you the presentation, let me know if it helps",OUTGOING,TRUE,I,I,presentation,the presentation,you,you
send,"I can send you my template, hope it will help",OUTGOING,TRUE,I,I,template,my template,you,you
send,"Hi, I will send you the instructions about this task ok?",OUTGOING,TRUE,I,I,instructions,the instructions,you,you
add,"Hi, can you please add my name to the updated list?",INCOMING,TRUE,you,you,name,my name,,
add,Would you please add this data do your analysis?,INCOMING,TRUE,you,you,data,this data,,
add,"I know, but I need you to add this table to the document please",INCOMING,TRUE,you,you,table,this table,,
add,Could you please add me to the team's list,INCOMING,TRUE,you,you,me,me,,
add,I think you need to add a few more details about it,INCOMING,TRUE,you,you,details,a few more details,,
add,It's quiet good but I think you should add more photos,INCOMING,TRUE,you,you,photos,more photos,,
add,"You are right, I will add these titles to the presentation",OUTGOING,TRUE,I,I,titles,these titles,,
add,"It is very simple, I will add you to the shared document",OUTGOING,TRUE,I,I,you,you,,
add,"I know, I need to add the technical support number to my contacts",OUTGOING,TRUE,I,I,number,the technical support number,,
add,"Sure, I can add your comments to the presentation",OUTGOING,TRUE,I,I,comments,your comments,,
provide,Can you please provide some insights about this topic?,INCOMING,TRUE,you,you,insights,some insights,,
provide,"Hello, could you please provide your feedback about this task?",INCOMING,TRUE,you,you,feedback,your feedback,,
provide,You should provide more details before we go on to the next phase,INCOMING,TRUE,you,you,details,more details,,
provide,I will provide my inputs once I go over the paper,OUTGOING,TRUE,I,I,inputs,my inputs,,
provide,"Yes, I need to provide my feedback",OUTGOING,TRUE,I,I,feedback,my feedback,,
provide,I can provide some more facts,OUTGOING,TRUE,I,I,facts,some more facts,,
provide,If you are able to provide general guidelines that would be great,INCOMING,TRUE,you,you,guidelines,general guidelines,,