TARGET_WORD,DEFINITION,SEMANTIC_BRANCH,CLASS_LABEL
smile,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement,"[facial_expression, gesture, visual_communication, communication, abstraction, entity]",1
year,"anything happening rapidly or in quick successive; a rain of bullets""; ""a pelting of insults""""","[sequence, temporal_arrangement, temporal_property, property, attribute, abstraction, entity]",0
minutes,a written account of what transpired at a meeting,"[written_record, record, evidence, indication, communication, abstraction, entity]",1
name,an electrical device that alters the frequency spectrum of signals passing through it,"[electrical_device, device, instrumentality, artifact, whole, object, physical_entity, entity]",0
allergies,hypersensitivity reaction to a particular allergen; symptoms can vary greatly in intensity,"[hypersensitivity_reaction, hypersensitivity, sensitivity, susceptibility, condition, state, attribute, abstraction, entity]",1
number,"the choicest or most essential or most vital part of some idea or experience; the gist of the prosecutor's argument""; ""the heart and soul of the Republican Party""; ""the nub of the story""""","[content, cognition, psychological_feature, abstraction, entity]",0
X-ray,a representation of a person or scene in the form of a print or transparent slide or in digital format,"[representation, creation, artifact, whole, object, physical_entity, entity]",0
hour,the syllable naming the second (supertonic) note of any major scale in solmization,"[solfa_syllable, syllable, language_unit, part, relation, abstraction, entity]",0
map,"a cable, wire, or rope that is used to brace something (especially a tent)","[brace, structural_member, support, device, instrumentality, artifact, whole, object, physical_entity, entity]",0
train,"distance measured by the time taken to cover it; we live an hour from the airport""; ""its just 10 minutes away""""","[distance, spacing, placement, position, relation, abstraction, entity]",0
promises,"the period of time a prisoner is imprisoned; he served a prison term of 15 months""; ""his sentence was 5 to 10 years""; ""he is doing time in the county jail""""","[term, time_period, fundamental_quantity, measure, abstraction, entity]",0
siblings,a person's brother or sister,"[relative, person, organism, living_thing, whole, object, physical_entity, entity]",1
life,"a scheduled trip by plane between designated airports; I took the noon flight to Chicago""""","[trip, journey, travel, motion, change, action, act, event, psychological_feature, abstraction, entity]",0
phone,"a disposition to find (or make) causes for amusement; her playfulness surprised me""; ""he was fun to be with""""","[frivolity, trait, attribute, abstraction, entity]",0
question,"the extent of a 2-dimensional surface enclosed within a boundary; the area of a rectangle""; ""it was about 500 square feet in area""""","[extent, magnitude, property, attribute, abstraction, entity]",0
number,"(music) melodic subject of a musical composition; the theme is announced in the first measures""; ""the accompanist picked up the idea and elaborated it""""","[tune, music, auditory_communication, communication, abstraction, entity]",0
paycheck,a check issued in payment of wages or salary,"[check, draft, negotiable_instrument, legal_document, document, writing, written_communication, communication, abstraction, entity]",1
today,"a source of difficulty; one trouble after another delayed the job""; ""what's the problem?""""","[difficulty, cognitive_factor, cognition, psychological_feature, abstraction, entity]",0
buddy,a close friend who accompanies his buddies in their activities,"[friend, person, organism, living_thing, whole, object, physical_entity, entity]",1
job,a negotiable certificate that can be detached and redeemed as needed,"[commercial_document, document, writing, written_communication, communication, abstraction, entity]",0
season,"a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy; the family brought suit against the landlord""""","[proceeding, due_process, group_action, act, event, psychological_feature, abstraction, entity]",0
week,flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes,"[flower_arrangement, arrangement, group, abstraction, entity]",0
boys,"a disposition to find (or make) causes for amusement; her playfulness surprised me""; ""he was fun to be with""""","[frivolity, trait, attribute, abstraction, entity]",0
mine,the highest waterfall; has more than one leap; flow varies seasonally,"[waterfall, body_of_water, thing, physical_entity, entity]",0
keys,"depositing in a warehouse; they decided to reposition their furniture in a recommended repository in Brooklyn""; ""my car is in storage""; ""publishers reduced print runs to cut down the cost of warehousing""""","[deposit, buildup, accumulation, increase, change_of_magnitude, change, action, act, event, psychological_feature, abstraction, entity]",0