,id,sentence,span1,span2,acc,target,pred,pred_proba,true_positive,span,span_token,layer_00_tsne_x,layer_00_tsne_y,layer_01_tsne_x,layer_01_tsne_y,layer_02_tsne_x,layer_02_tsne_y,layer_03_tsne_x,layer_03_tsne_y,layer_04_tsne_x,layer_04_tsne_y,layer_05_tsne_x,layer_05_tsne_y,layer_06_tsne_x,layer_06_tsne_y,layer_07_tsne_x,layer_07_tsne_y,layer_08_tsne_x,layer_08_tsne_y,layer_09_tsne_x,layer_09_tsne_y,layer_10_tsne_x,layer_10_tsne_y,layer_11_tsne_x,layer_11_tsne_y,layer_12_tsne_x,layer_12_tsne_y,sentence_idx,aggr_layer_00_tsne_x,aggr_layer_00_tsne_y,aggr_layer_01_tsne_x,aggr_layer_01_tsne_y,aggr_layer_02_tsne_x,aggr_layer_02_tsne_y,aggr_layer_03_tsne_x,aggr_layer_03_tsne_y,aggr_layer_04_tsne_x,aggr_layer_04_tsne_y,aggr_layer_05_tsne_x,aggr_layer_05_tsne_y,aggr_layer_06_tsne_x,aggr_layer_06_tsne_y,aggr_layer_07_tsne_x,aggr_layer_07_tsne_y,aggr_layer_08_tsne_x,aggr_layer_08_tsne_y,aggr_layer_09_tsne_x,aggr_layer_09_tsne_y,aggr_layer_10_tsne_x,aggr_layer_10_tsne_y,aggr_layer_11_tsne_x,aggr_layer_11_tsne_y,aggr_layer_12_tsne_x,aggr_layer_12_tsne_y,acc_coloring,tp_coloring,pred_coloring,target_coloring
0,0,"[CLS] bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim , did not consider that he had done anything dish ##ones ##t . still , anyone who knew that he was 19 years old could take his claim away from him . [SEP]",anyone,him,0,0,1,[0.43348306 0.5665169 ],0,anyone,anyone,12.318484,-60.0967,-49.498947,-9.33713,25.412897,81.29783,12.381457,-16.17239,33.05245,15.053498,52.164856,-4.7382526,-12.412861,48.17633,63.175323,6.0616207,38.156345,52.40908,11.227022,45.870167,73.66787,39.386887,48.367367,-73.60435,-0.66060317,-50.797085,8,12.318484,-60.0967,-49.498947,-9.33713,25.412897,81.29783,12.381457,-16.17239,33.05245,15.053498,52.164856,-4.7382526,-12.412861,48.17633,63.175323,6.0616207,38.156345,52.40908,11.227022,45.870167,73.66787,39.386887,48.367367,-73.60435,-0.66060317,-50.797085,0.0,0.0,1.0,0.0
1,0,"[CLS] bernard , who had not told the government official that he was less than 21 when he filed for a homestead claim , did not consider that he had done anything dish ##ones ##t . still , anyone who knew that he was 19 years old could take his claim away from him . [SEP]",anyone,him,0,0,1,[0.43348306 0.5665169 ],0,him,him,-3.4886358,86.84191,-45.136482,98.70458,84.54825,61.271908,-52.556282,89.43997,3.2992067,114.65635,52.376713,103.134895,49.251663,106.308075,96.224144,57.30876,-7.493855,95.07611,-23.248795,94.664764,40.567635,94.386246,39.962498,-63.369164,5.500088,-85.5005,8,-3.488636,86.84187,-45.136482,98.70458,84.63464,61.64022,-52.556282,89.43997,3.2992067,114.65635,52.376713,103.134895,48.98848,106.594635,96.26167,57.61672,-7.8151407,95.20598,-23.121727,95.07068,40.250088,94.104744,39.938538,-63.044743,5.500088,-85.5005,0.0,0.0,1.0,0.0
2,1,"[CLS] mr . mon ##cr ##ie ##ff visited chester ' s luxurious new york apartment , thinking that it belonged to his son edward . the result was that mr . mon ##cr ##ie ##ff has decided to cancel edward ' s allowance on the ground that he no longer requires his financial support . [SEP]",Mr. Moncrieff,his,0,1,0,[0.5357042 0.4642959],0,Mr. Moncrieff,mr,-30.758226,-66.03311,36.344955,77.09846,21.594114,92.4912,51.102764,89.79,66.02328,76.07359,35.491894,-109.87872,85.518486,-59.46409,4.2125673,-113.399216,91.773186,48.185497,11.42397,-109.0372,109.37172,-8.020637,0.43680617,-109.00893,99.534615,51.22765,23,-30.758226,-66.03311,36.344955,77.09846,21.267397,92.41864,51.102764,89.79,66.510086,75.91284,35.23868,-109.42914,85.80344,-59.15338,4.2396364,-113.97333,91.773186,48.185497,11.42397,-109.0372,109.37172,-8.020637,0.43680617,-109.00893,99.534615,51.22765,0.5,0.0,0.0,0.5
3,1,"[CLS] mr . mon ##cr ##ie ##ff visited chester ' s luxurious new york apartment , thinking that it belonged to his son edward . the result was that mr . mon ##cr ##ie ##ff has decided to cancel edward ' s allowance on the ground that he no longer requires his financial support . [SEP]",Mr. Moncrieff,his,0,1,0,[0.5357042 0.4642959],0,Mr. Moncrieff,.,43.276844,5.022462,56.580925,2.723723,-84.49016,35.416145,-3.1433618,-91.68418,-80.04074,-56.420578,46.2218,-93.39177,92.56363,-53.369358,-1.631242,-118.72911,95.38762,43.347286,7.8930893,-113.64247,111.84574,-4.095608,-2.4398017,-105.65123,-31.101343,-91.79359,23,43.276844,5.022462,56.41127,2.8414693,-84.49016,35.416145,-3.1433618,-91.68418,-80.04074,-56.420578,46.2218,-93.39177,92.56363,-53.369358,-1.631242,-118.72911,95.05058,43.044724,7.8930893,-113.64247,111.84574,-4.095608,-2.4398017,-105.65123,-31.101343,-91.79359,0.5,0.0,0.0,0.5
4,1,"[CLS] mr . mon ##cr ##ie ##ff visited chester ' s luxurious new york apartment , thinking that it belonged to his son edward . the result was that mr . mon ##cr ##ie ##ff has decided to cancel edward ' s allowance on the ground that he no longer requires his financial support . [SEP]",Mr. Moncrieff,his,0,1,0,[0.5357042 0.4642959],0,Mr. Moncrieff,mon,-0.5004158,-53.000484,-8.880445,50.372063,52.648624,59.62182,14.050458,85.99185,98.95984,-2.726023,74.067055,-85.672966,96.08891,-28.18899,74.51943,-75.999146,109.41289,-35.58729,5.041348,-91.67365,83.77705,-75.51768,-12.631872,28.485071,-50.067272,-51.98154,23,-0.5004158,-53.000484,-8.880445,50.372063,52.648624,59.62182,14.050458,85.99185,99.413376,-2.5460734,74.067055,-85.672966,96.78259,-28.197998,74.51943,-75.999146,109.78325,-35.719006,5.041348,-91.67365,83.77705,-75.51768,-12.631872,28.485071,-50.03058,-51.59014,0.5,0.0,0.0,0.5
5,1,"[CLS] mr . mon ##cr ##ie ##ff visited chester ' s luxurious new york apartment , thinking that it belonged to his son edward . the result was that mr . mon ##cr ##ie ##ff has decided to cancel edward ' s allowance on the ground that he no longer requires his financial support . [SEP]",Mr. Moncrieff,his,0,1,0,[0.5357042 0.4642959],0,Mr. Moncrieff,##cr,-8.3943815,-67.76486,-0.60064125,66.27179,57.287254,71.37128,-3.8754232,7.905961,102.50861,11.913419,91.89165,-70.61029,94.5057,-20.4474,82.61884,-75.75337,113.20047,-40.20882,9.551688,-86.77643,82.49963,-81.816414,-11.104646,34.65695,-54.282757,-57.927685,23,-8.3943815,-67.76486,-0.60064125,66.27179,57.287254,71.37128,-3.8754232,7.905961,102.50861,11.913419,91.89165,-70.61029,94.80292,-20.48621,82.61884,-75.75337,113.20047,-40.20882,9.230738,-87.30458,82.49963,-81.816414,-11.3903885,34.417145,-54.621014,-57.405724,0.5,0.0,0.0,0.5
6,1,"[CLS] mr . mon ##cr ##ie ##ff visited chester ' s luxurious new york apartment , thinking that it belonged to his son edward . the result was that mr . mon ##cr ##ie ##ff has decided to cancel edward ' s allowance on the ground that he no longer requires his financial support . [SEP]",Mr. Moncrieff,his,0,1,0,[0.5357042 0.4642959],0,Mr. Moncrieff,##ie,43.90108,-13.363439,26.018354,26.498627,51.57603,19.05357,44.795094,61.86787,108.20352,-0.19292352,95.56063,-57.518433,115.74654,11.183708,89.21877,-63.08497,99.51262,-56.45186,19.218983,-83.18557,65.14845,-62.955547,-1.7255218,37.031933,0.24154852,-9.517099,23,43.90108,-13.363439,25.834084,26.532417,51.57603,19.05357,44.795094,61.86787,108.20352,-0.19292352,95.56063,-57.518433,115.74654,11.183708,89.82326,-63.242218,99.51262,-56.45186,19.218983,-83.18557,65.14845,-62.955547,-1.7255218,37.031933,0.24154852,-9.517099,0.5,0.0,0.0,0.5
7,1,"[CLS] mr . mon ##cr ##ie ##ff visited chester ' s luxurious new york apartment , thinking that it belonged to his son edward . the result was that mr . mon ##cr ##ie ##ff has decided to cancel edward ' s allowance on the ground that he no longer requires his financial support . [SEP]",Mr. Moncrieff,his,0,1,0,[0.5357042 0.4642959],0,Mr. Moncrieff,##ff,-21.132082,50.81067,2.0002096,77.06837,46.075825,67.99936,11.371512,-26.895842,-24.755095,79.88924,42.21322,2.8902383,28.25334,-70.20195,-3.4259424,-89.56204,82.14336,79.119804,1.1203395,-103.327225,119.30762,-10.443036,-8.916703,-108.81892,-46.249104,-59.362408,23,-21.132082,50.81067,2.0002096,77.06837,46.075825,67.99936,11.371512,-26.895842,-24.755095,79.88924,42.21322,2.8902383,28.25334,-70.20195,-3.4259424,-89.56204,81.89597,78.78848,1.5013707,-103.20901,119.30762,-10.443036,-8.916703,-108.81892,-46.249104,-59.362408,0.5,0.0,0.0,0.5
8,1,"[CLS] mr . mon ##cr ##ie ##ff visited chester ' s luxurious new york apartment , thinking that it belonged to his son edward . the result was that mr . mon ##cr ##ie ##ff has decided to cancel edward ' s allowance on the ground that he no longer requires his financial support . [SEP]",Mr. Moncrieff,his,0,1,0,[0.5357042 0.4642959],0,his,his,19.729004,86.2017,2.4212272,121.87882,96.09807,40.057346,-14.997339,124.92906,48.222935,104.67252,87.028595,74.75074,49.44419,74.8464,86.18747,48.695522,-5.547256,101.60759,-24.297377,87.691696,48.90913,93.26108,29.07881,-67.183075,-23.486862,-79.30256,23,19.7292,86.202644,2.4212272,121.87882,96.26443,39.850925,-15.507503,124.723694,48.326332,104.57697,87.39529,74.6344,49.439266,74.69488,85.653305,48.55854,-5.547256,101.60759,-24.335468,87.96259,48.90913,93.26108,28.801956,-67.21224,-23.250866,-79.11935,0.0,0.0,0.6666666666666666,0.3333333333333333
9,2,"[CLS] i tried to paint a picture of an orchard , with lemon ##s in the lemon trees , but they came out looking more like light bulbs . [SEP]",lemon trees,they,1,0,0,[0.5401087  0.45989135],0,lemon trees,lemon,-30.11545,6.594755,-12.249428,61.82206,36.232533,47.285477,25.662237,70.015526,90.10219,22.250032,48.78606,-67.09577,71.21966,-33.291115,43.515984,-66.53863,70.209236,-27.361202,47.88653,-59.346638,49.63665,-59.852917,11.717986,64.89683,54.573166,91.94842,1,-30.11545,6.594755,-12.249428,61.82206,36.232533,47.285477,25.343758,70.05194,90.16866,22.533417,48.784683,-66.80433,71.21966,-33.291115,43.515984,-66.53863,70.3382,-27.612759,47.88653,-59.346638,49.63665,-59.852917,11.717986,64.89683,54.414806,92.156845,1.0,0.0,0.0,0.0
10,2,"[CLS] i tried to paint a picture of an orchard , with lemon ##s in the lemon trees , but they came out looking more like light bulbs . [SEP]",lemon trees,they,1,0,0,[0.5401087  0.45989135],0,lemon trees,trees,-26.982746,-0.71528524,2.3442388,33.028492,20.504154,42.069843,25.602621,55.77436,8.098712,-20.429092,-35.86699,-26.163498,68.01898,-26.159441,16.228233,-58.5873,71.48816,-33.185005,78.40307,-41.787083,8.489728,-60.676502,18.529694,71.05434,55.723488,84.80507,1,-26.982748,-0.7152853,2.3442392,33.028492,20.504154,42.069843,25.602621,55.77436,8.098712,-20.429092,-35.86699,-26.163498,68.01898,-26.159441,16.228233,-58.5873,71.69374,-33.265907,78.40307,-41.787083,8.489728,-60.676502,18.529694,71.05434,55.723488,84.80507,1.0,0.0,0.0,0.0
11,2,"[CLS] i tried to paint a picture of an orchard , with lemon ##s in the lemon trees , but they came out looking more like light bulbs . [SEP]",lemon trees,they,1,0,0,[0.5401087  0.45989135],0,they,they,64.15357,-62.010754,-10.580354,94.91128,99.15886,19.142075,-29.179138,93.71395,22.625929,114.708664,55.372845,81.02244,30.722523,101.2653,84.23523,67.99224,28.176863,76.12171,-23.335167,53.162834,-3.514504,-52.888947,25.773836,64.63861,66.40793,83.57883,1,64.15357,-62.010754,-10.537014,94.72497,99.40962,19.398235,-29.48478,94.37194,22.639013,114.145424,55.883934,81.33383,30.53572,101.47124,83.811554,68.175606,28.363026,76.25397,-23.221119,52.674004,-3.514504,-52.888947,25.447695,64.62436,66.32109,83.798386,0.5,0.0,0.0,0.5
12,3,"[CLS] always before , larry had helped dad with his work . but he could not help him now , for dad said that his boss at the railroad company would not want anyone but him to work in the office . [SEP]",Larry,his,1,0,0,[0.551259   0.44874102],0,Larry,larry,66.35191,-25.102507,-48.156307,-67.538795,65.59456,28.926752,-59.545944,63.5463,-0.08234383,77.68286,-10.442936,111.95248,42.41589,-103.5305,39.817574,-103.066246,118.100586,-2.760865,39.43088,-95.04876,59.083565,-84.67139,-12.480614,-7.3184676,-80.4509,-52.73215,19,66.351906,-25.102507,-48.010082,-67.33355,65.59456,28.926752,-59.545944,63.5463,0.19747612,77.61082,-10.442936,111.95248,42.556763,-103.269485,39.817574,-103.066246,117.585,-2.7061648,39.7629,-95.363785,58.56401,-84.6002,-12.226349,-7.4288225,-80.4509,-52.73215,0.6666666666666666,0.0,0.0,0.3333333333333333
13,3,"[CLS] always before , larry had helped dad with his work . but he could not help him now , for dad said that his boss at the railroad company would not want anyone but him to work in the office . [SEP]",Larry,his,1,0,0,[0.551259   0.44874102],0,his,his,17.02021,86.44949,-1.9024054,115.78968,97.80617,36.750137,-19.59765,123.5115,45.930744,108.99068,82.61813,80.76553,51.33626,82.5779,85.78194,34.47445,22.98235,99.13663,-15.506676,75.5698,48.99244,81.78215,31.41731,-50.640186,-4.7809076,-82.94106,19,17.020687,86.449646,-2.1113694,115.522446,97.63016,36.579857,-19.962566,123.54237,46.10685,109.301346,82.61813,80.76553,50.922768,82.48956,85.78194,34.47445,22.645622,99.168106,-15.652723,75.88276,49.30672,81.635605,31.200546,-50.88038,-4.757355,-82.7888,0.5,0.0,0.0,0.5
14,4,"[CLS] since chester was dependent on uncle vernon , he couldn ' t very well marry without his approval [SEP]",Chester,his,0,0,1,[0.4723472 0.5276528],0,Chester,chester,-79.01252,-19.26224,-88.6405,-1.5569212,35.371834,72.06546,-29.341051,56.082413,60.3504,59.95181,63.551174,-17.064054,32.510914,-80.70551,60.99687,-81.93306,106.87625,-19.107582,40.01745,-87.23294,44.034885,-99.32732,-20.09009,-9.851951,-96.806885,-38.60525,17,-79.01252,-19.26224,-88.6405,-1.5569212,35.371834,72.06546,-29.341051,56.082413,60.3504,59.95181,63.51554,-16.879417,32.510914,-80.70551,60.99687,-81.93306,106.87625,-19.107582,40.01745,-87.23294,43.857887,-99.25186,-20.09009,-9.851951,-96.806885,-38.60525,0.0,0.0,0.5,0.5
15,4,"[CLS] since chester was dependent on uncle vernon , he couldn ' t very well marry without his approval [SEP]",Chester,his,0,0,1,[0.4723472 0.5276528],0,his,his,17.652369,90.31234,3.405456,114.17655,91.3752,42.216778,-10.9777775,124.633835,53.796562,101.81258,90.05459,72.453735,52.33823,74.393105,87.97342,45.312687,-3.5941544,99.53983,-21.049147,87.89771,46.891113,96.315094,31.29718,-63.277634,-22.344622,-75.16418,17,17.652369,90.31234,3.405456,114.17655,91.33528,42.471893,-10.979557,124.38417,53.744225,101.82985,90.05459,72.453735,52.33823,74.393105,87.97342,45.312687,-3.5941544,99.53983,-21.049147,87.89771,46.891113,96.315094,31.392647,-63.176212,-22.344622,-75.16418,0.0,0.0,0.5,0.5
16,5,[CLS] the large ball crashed right through the table because it was made of st ##yr ##of ##oa ##m . [SEP],The table,it,0,1,0,[0.51455265 0.48544732],0,The table,the,16.727324,-1.3534625,55.926758,49.741505,-57.307938,81.3317,73.82295,46.60313,54.46201,40.31662,17.558048,-91.77146,47.747166,25.983927,18.140419,-1.0948175,28.91043,-18.88307,53.620617,27.156185,15.096104,-15.305185,76.27996,53.912144,80.46307,21.288292,29,16.727324,-1.3534625,55.926758,49.741505,-57.307938,81.3317,73.82295,46.60313,54.46201,40.31662,17.558048,-91.77146,47.747166,25.983927,18.140419,-1.0948175,28.91043,-18.88307,53.620617,27.156185,15.096104,-15.305185,76.27996,53.912144,80.46307,21.288292,0.0,0.0,0.0,1.0
17,5,[CLS] the large ball crashed right through the table because it was made of st ##yr ##of ##oa ##m . [SEP],The table,it,0,1,0,[0.51455265 0.48544732],0,The table,table,-33.601517,1.441589,24.309652,34.29698,14.992275,49.383278,3.74005,49.646168,40.91744,-8.258746,32.44046,-63.282017,44.625927,-22.287708,65.24571,-67.81115,93.84144,-8.017703,58.026142,-25.638443,33.63573,-49.917892,69.87504,46.66069,61.640915,34.49233,29,-33.601517,1.441589,24.309652,34.29698,14.992275,49.383278,3.74005,49.646168,40.91744,-8.258746,32.44046,-63.282017,44.625927,-22.287708,65.24571,-67.81115,93.84144,-8.017703,58.026142,-25.638443,33.63573,-49.917892,69.87504,46.66069,61.640915,34.49233,0.0,0.0,0.0,1.0
18,5,[CLS] the large ball crashed right through the table because it was made of st ##yr ##of ##oa ##m . [SEP],The table,it,0,1,0,[0.51455265 0.48544732],0,it,it,59.623604,21.379528,47.61902,-80.753685,-97.58442,41.129074,20.72714,106.79892,-18.75171,100.580986,46.070015,79.89943,23.101635,109.72004,77.499306,71.878174,29.969421,68.5357,1.3551137,37.944023,12.361006,-20.26977,73.11853,54.16363,77.28911,24.021145,29,59.623604,21.379528,47.554455,-80.60411,-97.6326,41.370407,20.423294,106.5427,-18.751713,100.58098,46.06441,80.20228,23.101635,109.72004,77.807,71.94414,29.900341,68.55637,1.4285812,37.6826,12.361006,-20.26977,73.11861,54.166603,77.48474,24.05386,0.5,0.0,0.0,0.5
19,6,"[CLS] the path to the lake was blocked , so we couldn ' t use it . [SEP]",The path,it,0,1,0,[0.5638036  0.43619642],0,The path,the,30.68877,-3.4029086,39.192142,60.01107,-31.472305,75.45602,60.6728,59.597042,30.369968,48.302246,13.892044,-72.82882,36.06434,10.27126,19.820868,13.356566,32.212883,-12.979407,46.577904,27.77329,5.623327,-31.004839,60.584972,43.962963,93.54085,49.28961,20,30.68877,-3.4029086,39.192142,60.01107,-31.472305,75.45602,60.6728,59.597042,30.369968,48.302246,13.892044,-72.82882,36.06434,10.27126,19.820868,13.356566,32.212883,-12.979407,46.577904,27.77329,5.623327,-31.004839,60.584972,43.962963,93.54085,49.28961,0.0,0.0,0.0,1.0
20,6,"[CLS] the path to the lake was blocked , so we couldn ' t use it . [SEP]",The path,it,0,1,0,[0.5638036  0.43619642],0,The path,path,-34.62227,28.705837,18.463385,51.907604,4.4729214,59.367172,8.448415,50.334354,3.2681177,58.188717,-21.291653,-19.880766,21.333094,-36.667973,-25.620602,41.782593,38.90766,-11.210463,47.527905,20.97838,5.313565,-35.617725,56.65736,42.979412,38.1252,5.33181,20,-34.62227,28.705837,18.463385,51.907604,4.4729214,59.367172,8.448415,50.334354,3.2681177,58.188717,-21.291653,-19.880766,21.333094,-36.667973,-25.620602,41.782593,38.90766,-11.210463,47.527905,20.97838,5.313565,-35.617725,56.65736,42.979412,38.1252,5.33181,0.0,0.0,0.0,1.0